,match_id,league,sport,comp_names,results_value,timestamp,hero,villain,market,line,line_type,price,hero_score,villain_score
61,houston-rockets-orlando-magic-202211071915,nba,basketball,"['Houston Rockets', 'Orlando Magic']",[],2022-11-07 18:32:25.491572,Orlando Magic,Houston Rockets,SPREAD,4.5,favorite,-110,,
62,houston-rockets-orlando-magic-202211071915,nba,basketball,"['Houston Rockets', 'Orlando Magic']",[],2022-11-07 18:32:25.491572,Houston Rockets,Orlando Magic,WIN,,,+170,,
63,houston-rockets-orlando-magic-202211071915,nba,basketball,"['Houston Rockets', 'Orlando Magic']",[],2022-11-07 18:32:25.491572,Orlando Magic,Houston Rockets,WIN,,,-200,,
64,houston-rockets-orlando-magic-202211071915,nba,basketball,"['Houston Rockets', 'Orlando Magic']",[],2022-11-07 18:32:25.491572,Houston Rockets,Orlando Magic,TOTAL,4.5,favorite,-110,,
65,houston-rockets-orlando-magic-202211071915,nba,basketball,"['Houston Rockets', 'Orlando Magic']",[],2022-11-07 18:32:25.491572,Orlando Magic,Houston Rockets,TOTAL,4.5,favorite,-110,,
66,oklahoma-city-thunder-detroit-pistons-202211071930,nba,basketball,"['Oklahoma City Thunder', 'Detroit Pistons']",[],2022-11-07 18:32:25.628364,Oklahoma City Thunder,Detroit Pistons,SPREAD,2.0,underdog,-110,,
67,oklahoma-city-thunder-detroit-pistons-202211071930,nba,basketball,"['Oklahoma City Thunder', 'Detroit Pistons']",[],2022-11-07 18:32:25.628364,Detroit Pistons,Oklahoma City Thunder,SPREAD,2.0,underdog,-110,,
68,oklahoma-city-thunder-detroit-pistons-202211071930,nba,basketball,"['Oklahoma City Thunder', 'Detroit Pistons']",[],2022-11-07 18:32:25.628364,Oklahoma City Thunder,Detroit Pistons,WIN,,,-130,,
69,oklahoma-city-thunder-detroit-pistons-202211071930,nba,basketball,"['Oklahoma City Thunder', 'Detroit Pistons']",[],2022-11-07 18:32:25.628364,Detroit Pistons,Oklahoma City Thunder,WIN,,,+110,,
70,oklahoma-city-thunder-detroit-pistons-202211071930,nba,basketball,"['Oklahoma City Thunder', 'Detroit Pistons']",[],2022-11-07 18:32:25.628364,Oklahoma City Thunder,Detroit Pistons,TOTAL,2.0,underdog,-110,,
71,oklahoma-city-thunder-detroit-pistons-202211071930,nba,basketball,"['Oklahoma City Thunder', 'Detroit Pistons']",[],2022-11-07 18:32:25.628364,Detroit Pistons,Oklahoma City Thunder,TOTAL,2.0,underdog,-110,,
72,new-orleans-pelicans-indiana-pacers-202211071945,nba,basketball,"['New Orleans Pelicans', 'Indiana Pacers']",[],2022-11-07 18:32:25.784098,New Orleans Pelicans,Indiana Pacers,SPREAD,5.0,underdog,-110,,
73,new-orleans-pelicans-indiana-pacers-202211071945,nba,basketball,"['New Orleans Pelicans', 'Indiana Pacers']",[],2022-11-07 18:32:25.784098,Indiana Pacers,New Orleans Pelicans,SPREAD,5.0,underdog,-110,,
74,new-orleans-pelicans-indiana-pacers-202211071945,nba,basketball,"['New Orleans Pelicans', 'Indiana Pacers']",[],2022-11-07 18:32:25.784098,New Orleans Pelicans,Indiana Pacers,WIN,,,-195,,
75,new-orleans-pelicans-indiana-pacers-202211071945,nba,basketball,"['New Orleans Pelicans', 'Indiana Pacers']",[],2022-11-07 18:32:25.784098,Indiana Pacers,New Orleans Pelicans,WIN,,,+165,,
76,new-orleans-pelicans-indiana-pacers-202211071945,nba,basketball,"['New Orleans Pelicans', 'Indiana Pacers']",[],2022-11-07 18:32:25.784098,New Orleans Pelicans,Indiana Pacers,TOTAL,5.0,underdog,-110,,
77,new-orleans-pelicans-indiana-pacers-202211071945,nba,basketball,"['New Orleans Pelicans', 'Indiana Pacers']",[],2022-11-07 18:32:25.784098,Indiana Pacers,New Orleans Pelicans,TOTAL,5.0,underdog,-110,,
78,phoenix-suns-philadelphia-76ers-202211072000,nba,basketball,"['Phoenix Suns', 'Philadelphia 76ers']",[],2022-11-07 18:32:25.886352,Phoenix Suns,Philadelphia 76ers,SPREAD,2.5,underdog,-110,,
79,phoenix-suns-philadelphia-76ers-202211072000,nba,basketball,"['Phoenix Suns', 'Philadelphia 76ers']",[],2022-11-07 18:32:25.886352,Philadelphia 76ers,Phoenix Suns,SPREAD,2.5,underdog,-110,,
80,phoenix-suns-philadelphia-76ers-202211072000,nba,basketball,"['Phoenix Suns', 'Philadelphia 76ers']",[],2022-11-07 18:32:25.886352,Phoenix Suns,Philadelphia 76ers,WIN,,,-145,,
81,phoenix-suns-philadelphia-76ers-202211072000,nba,basketball,"['Phoenix Suns', 'Philadelphia 76ers']",[],2022-11-07 18:32:25.886352,Philadelphia 76ers,Phoenix Suns,WIN,,,+125,,
82,phoenix-suns-philadelphia-76ers-202211072000,nba,basketball,"['Phoenix Suns', 'Philadelphia 76ers']",[],2022-11-07 18:32:25.886352,Phoenix Suns,Philadelphia 76ers,TOTAL,2.5,underdog,-110,,
83,phoenix-suns-philadelphia-76ers-202211072000,nba,basketball,"['Phoenix Suns', 'Philadelphia 76ers']",[],2022-11-07 18:32:25.886352,Philadelphia 76ers,Phoenix Suns,TOTAL,2.5,underdog,-110,,
84,milwaukee-bucks-atlanta-hawks-202211072015,nba,basketball,"['Milwaukee Bucks', 'Atlanta Hawks']",[],2022-11-07 18:32:26.075786,Milwaukee Bucks,Atlanta Hawks,SPREAD,4.0,underdog,-110,,
85,milwaukee-bucks-atlanta-hawks-202211072015,nba,basketball,"['Milwaukee Bucks', 'Atlanta Hawks']",[],2022-11-07 18:32:26.075786,Atlanta Hawks,Milwaukee Bucks,SPREAD,4.0,underdog,-110,,
86,milwaukee-bucks-atlanta-hawks-202211072015,nba,basketball,"['Milwaukee Bucks', 'Atlanta Hawks']",[],2022-11-07 18:32:26.075786,Milwaukee Bucks,Atlanta Hawks,WIN,,,-170,,
87,milwaukee-bucks-atlanta-hawks-202211072015,nba,basketball,"['Milwaukee Bucks', 'Atlanta Hawks']",[],2022-11-07 18:32:26.075786,Atlanta Hawks,Milwaukee Bucks,WIN,,,+145,,
88,milwaukee-bucks-atlanta-hawks-202211072015,nba,basketball,"['Milwaukee Bucks', 'Atlanta Hawks']",[],2022-11-07 18:32:26.075786,Milwaukee Bucks,Atlanta Hawks,TOTAL,4.0,underdog,-110,,
89,milwaukee-bucks-atlanta-hawks-202211072015,nba,basketball,"['Milwaukee Bucks', 'Atlanta Hawks']",[],2022-11-07 18:32:26.075786,Atlanta Hawks,Milwaukee Bucks,TOTAL,4.0,underdog,-110,,
90,portland-trail-blazers-miami-heat-202211072030,nba,basketball,"['Portland Trail Blazers', 'Miami Heat']",[],2022-11-07 18:32:26.271357,Portland Trail Blazers,Miami Heat,SPREAD,5.0,favorite,-110,,
91,portland-trail-blazers-miami-heat-202211072030,nba,basketball,"['Portland Trail Blazers', 'Miami Heat']",[],2022-11-07 18:32:26.271357,Miami Heat,Portland Trail Blazers,SPREAD,5.0,favorite,-110,,
92,portland-trail-blazers-miami-heat-202211072030,nba,basketball,"['Portland Trail Blazers', 'Miami Heat']",[],2022-11-07 18:32:26.271357,Portland Trail Blazers,Miami Heat,WIN,,,+175,,
93,portland-trail-blazers-miami-heat-202211072030,nba,basketball,"['Portland Trail Blazers', 'Miami Heat']",[],2022-11-07 18:32:26.271357,Miami Heat,Portland Trail Blazers,WIN,,,-210,,
94,portland-trail-blazers-miami-heat-202211072030,nba,basketball,"['Portland Trail Blazers', 'Miami Heat']",[],2022-11-07 18:32:26.271357,Portland Trail Blazers,Miami Heat,TOTAL,5.0,favorite,-110,,
95,portland-trail-blazers-miami-heat-202211072030,nba,basketball,"['Portland Trail Blazers', 'Miami Heat']",[],2022-11-07 18:32:26.271357,Miami Heat,Portland Trail Blazers,TOTAL,5.0,favorite,-110,,
96,toronto-raptors-chicago-bulls-202211072045,nba,basketball,"['Toronto Raptors', 'Chicago Bulls']",[],2022-11-07 18:32:26.445760,Toronto Raptors,Chicago Bulls,SPREAD,2.0,favorite,-110,,
97,toronto-raptors-chicago-bulls-202211072045,nba,basketball,"['Toronto Raptors', 'Chicago Bulls']",[],2022-11-07 18:32:26.445760,Chicago Bulls,Toronto Raptors,SPREAD,2.0,favorite,-110,,
98,toronto-raptors-chicago-bulls-202211072045,nba,basketball,"['Toronto Raptors', 'Chicago Bulls']",[],2022-11-07 18:32:26.445760,Toronto Raptors,Chicago Bulls,WIN,,,+110,,
99,toronto-raptors-chicago-bulls-202211072045,nba,basketball,"['Toronto Raptors', 'Chicago Bulls']",[],2022-11-07 18:32:26.445760,Chicago Bulls,Toronto Raptors,WIN,,,-130,,
100,toronto-raptors-chicago-bulls-202211072045,nba,basketball,"['Toronto Raptors', 'Chicago Bulls']",[],2022-11-07 18:32:26.445760,Toronto Raptors,Chicago Bulls,TOTAL,2.0,favorite,-110,,
101,toronto-raptors-chicago-bulls-202211072045,nba,basketball,"['Toronto Raptors', 'Chicago Bulls']",[],2022-11-07 18:32:26.445760,Chicago Bulls,Toronto Raptors,TOTAL,2.0,favorite,-110,,
102,boston-celtics-memphis-grizzlies-202211072100,nba,basketball,"['Boston Celtics', 'Memphis Grizzlies']",[],2022-11-07 18:32:26.616441,Boston Celtics,Memphis Grizzlies,SPREAD,3.5,underdog,-110,,
103,boston-celtics-memphis-grizzlies-202211072100,nba,basketball,"['Boston Celtics', 'Memphis Grizzlies']",[],2022-11-07 18:32:26.616441,Memphis Grizzlies,Boston Celtics,SPREAD,3.5,underdog,-110,,
104,boston-celtics-memphis-grizzlies-202211072100,nba,basketball,"['Boston Celtics', 'Memphis Grizzlies']",[],2022-11-07 18:32:26.616441,Boston Celtics,Memphis Grizzlies,WIN,,,-160,,
105,boston-celtics-memphis-grizzlies-202211072100,nba,basketball,"['Boston Celtics', 'Memphis Grizzlies']",[],2022-11-07 18:32:26.616441,Memphis Grizzlies,Boston Celtics,WIN,,,+135,,
106,boston-celtics-memphis-grizzlies-202211072100,nba,basketball,"['Boston Celtics', 'Memphis Grizzlies']",[],2022-11-07 18:32:26.616441,Boston Celtics,Memphis Grizzlies,TOTAL,3.5,underdog,-110,,
107,boston-celtics-memphis-grizzlies-202211072100,nba,basketball,"['Boston Celtics', 'Memphis Grizzlies']",[],2022-11-07 18:32:26.616441,Memphis Grizzlies,Boston Celtics,TOTAL,3.5,underdog,-110,,
108,new-york-knicks-minnesota-timberwolves-202211072115,nba,basketball,"['New York Knicks', 'Minnesota Timberwolves']",[],2022-11-07 18:32:26.794219,New York Knicks,Minnesota Timberwolves,SPREAD,2.5,favorite,-110,,
109,new-york-knicks-minnesota-timberwolves-202211072115,nba,basketball,"['New York Knicks', 'Minnesota Timberwolves']",[],2022-11-07 18:32:26.794219,Minnesota Timberwolves,New York Knicks,SPREAD,2.5,favorite,-110,,
110,new-york-knicks-minnesota-timberwolves-202211072115,nba,basketball,"['New York Knicks', 'Minnesota Timberwolves']",[],2022-11-07 18:32:26.794219,New York Knicks,Minnesota Timberwolves,WIN,,,+120,,
111,new-york-knicks-minnesota-timberwolves-202211072115,nba,basketball,"['New York Knicks', 'Minnesota Timberwolves']",[],2022-11-07 18:32:26.794219,Minnesota Timberwolves,New York Knicks,WIN,,,-140,,
